USER ID : 8 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Tue Feb 06 2024 12:09:50 GMT+0530 (India Standard Time)
USER ID : 8 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Tue Feb 06 2024 12:10:00 GMT+0530 (India Standard Time)
USER ID : 8 | URL :https://www.amazon.in/ | TIME OF ACCESS : Tue Feb 06 2024 12:10:00 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Tue Feb 06 2024 12:10:30 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://www.flipkart.com/ | TIME OF ACCESS : Tue Feb 06 2024 12:10:30 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Tue Feb 06 2024 15:28:45 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Tue Feb 06 2024 15:28:55 GMT+0530 (India Standard Time)
USER ID : 4 | URL :chrome://extensions/ | TIME OF ACCESS : Tue Feb 06 2024 15:47:55 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://www.flipkart.com/ | TIME OF ACCESS : Tue Feb 06 2024 15:48:15 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Tue Feb 06 2024 17:28:05 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Tue Feb 06 2024 17:28:15 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Tue Feb 06 2024 17:29:05 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Tue Feb 06 2024 17:29:55 GMT+0530 (India Standard Time)
USER ID : 20 | URL :chrome://newtab/ | TIME OF ACCESS : Tue Feb 06 2024 17:30:55 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Tue Feb 06 2024 17:34:17 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Tue Feb 06 2024 17:34:57 GMT+0530 (India Standard Time)
USER ID : 15 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Tue Feb 06 2024 18:35:37 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 10:49:46 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 11:33:26 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 11:33:36 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 12:37:36 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 12:41:39 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 12:41:49 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 12:43:09 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 12:44:56 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 12:47:19 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:11:11 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 14:12:56 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:17:36 GMT+0530 (India Standard Time)
